352	0	0	0	0	0	0	0	0	0	0	0	0	0
353	0	0	0	0	0	0	0	0	0	0	0	0	0
354	0	0	0	0	0	0	0	0	0	0	0	0	0
355	0	0	0	0	0	0	0	0	0	0	0	0	0
356	0	0	0	0	0	0	0	0	0	0	0	0	0
357	0	0	0	0	0	0	0	0	0	0	0	0	0
358	0	0	0	0	0	0	0	0	0	0	0	0	0
359	0	0	0	0	0	0	0	0	0	0	0	0	0
360	0	0	0	0	0	0	0	0	0	0	0	0	0
361	0	0	0	0	0	0	0	0	0	0	0	0	0
362	0	0	0	0	0	0	0	0	0	0	0	0	0
363	0	0	0	0	0	0	0	0	0	0	0	0	0
364	0	0	0	0	0	0	0	0	0	0	0	0	0
365	0	0	0	0	0	0	0	0	0	0	0	0	0
366	0	0	0	0	0	0	0	0	0	0	0	0	0
367	0	0	0	0	0	0	0	0	0	0	0	0	0
368	0	0	0	0	0	0	0	0	0	0	0	0	0
369	0	0	0	0	0	0	0	0	0	0	0	0	0
370	0	0	0	0	0	0	0	0	0	0	0	0	0
371	0	0	0	0	0	0	0	0	0	0	0	0	0
372	0	0	0	0	0	0	0	0	0	0	0	0	0
373	0	0	0	0	0	0	0	0	0	0	0	0	0
374	0	0	0	0	0	0	0	0	0	0	0	0	0
375	0	0	0	0	0	0	0	0	0	0	0	0	0
376	0	0	0	0	0	0	0	0	0	0	0	0	0
377	0	0	0	0	0	0	0	0	0	0	0	0	0
378	0	0	0	0	0	0	0	0	0	0	0	0	0
379	0	0	0	0	0	0	0	0	0	0	0	0	0
380	0	0	0	0	0	0	0	0	0	0	0	0	0
381	0	0	0	0	0	0	0	0	0	0	0	0	0
382	0	0	0	0	0	0	0	0	0	0	0	0	0
383	0	0	0	0	0	0	0	0	0	0	0	0	0
384	0	0	0	0	0	0	0	0	0	0	0	0	0
385	0	0	0	0	0	0	0	0	0	0	0	0	0
386	0	0	0	0	0	0	0	0	0	0	0	0	0
387	0	0	0	0	0	0	0	0	0	0	0	0	0
388	0	0	0	0	0	0	0	0	0	0	0	0	0
389	0	0	0	0	0	0	0	0	0	0	0	0	0
390	0	0	0	0	0	0	0	0	0	0	0	0	0
391	0	0	0	0	0	0	0	0	0	0	0	0	0
392	0	0	0	0	0	0	0	0	0	0	0	0	0
393	0	0	0	0	0	0	0	0	0	0	0	0	0
394	0	0	0	0	0	0	0	0	0	0	0	0	0
395	0	0	0	0	0	0	0	0	0	0	0	0	0
396	0	0	0	0	0	0	0	0	0	0	0	0	0
397	0	0	0	0	0	0	0	0	0	0	0	0	0
398	0	0	0	0	0	0	0	0	0	0	0	0	0
399	0	0	0	0	0	0	0	0	0	0	0	0	0
400	0	0	0	0	0	0	0	0	0	0	0	0	0
401	0	0	0	0	0	0	0	0	0	0	0	0	0
402	0	0	0	0	0	0	0	0	0	0	0	0	0
403	0	0	0	0	0	0	0	0	0	0	0	0	0
404	0	0	0	0	0	0	0	0	0	0	0	0	0
405	0	0	0	0	0	0	0	0	0	0	0	0	0
406	0	0	0	0	0	0	0	0	0	0	0	0	0
407	0	0	0	0	0	0	0	0	0	0	0	0	0
408	0	0	0	0	0	0	0	0	0	0	0	0	0
409	0	0	0	0	0	0	0	0	0	0	0	0	0
410	0	0	0	0	0	0	0	0	0	0	0	0	0
411	0	0	0	0	0	0	0	0	0	0	0	0	0
412	0.001775742	0	0	0	0	0	0	0	0	0	0	0	0
413	0.004073061	0	0	0	0	0	0	0	0	0	0	0	0
414	0.003626143	0	0	0	0	0	0	0	0	0	0	0	0
415	0.003515199	0	0	0	0	0	0	0	0	0	0	0	0
416	0.005729163	0	0	0	0	0	0	0	0	0	0	0	0
417	0.003780292	0	0	0	0	0	0	0	0	0	0	0	0
418	0.002636732	0	0	0	0	0	0	0	0	0	0	0	0
419	0.001262113	0	0	0	0	0	0	0	0	0	0	0	0
420	0.001987583	0	0	0	0	0	0	0	0	0	0	0	0
421	0.001368913	0	0	0	0	0	0	0	0	0	0	0	0
422	0.001250444	0	0	0	0	0	0	0	0	0	0	0	0
423	0.000463454	0	0	0	0	0	0	0	0	0	0	0	0
424	0.000814293	0	0	0	0	0	0	0	0	0	0	0	0
425	0.001376431	0	0	0	0	0	0	0	0	0	0	0	0
426	0.001485086	0	0	0	0	0	0	0	0	0	0	0	0
427	0.001823735	0	0	0	0	0	0	0	0	0	0	0	0
428	0.001626817	0	0	0	0	0	0	0	0	0	0	0	0
429	0.004392062	0	0	0	0	0	0	0	0	0	0	0	0
430	0.029008099	0	0	0	0	0	0	0	0	0	0	0	0
431	0.118745933	0	0	0	0	0	0	0	0	0	0	0	0
432	0.323875058	0	0	0	0	0	0	0	0	0	0	0	0
433	0.572819207	0	0	0	0	0	0	0	0	0	0	0	0
434	0.714727494	0	0	0	0	0	0	0	0	0	0	0	0
435	0.761967778	0	0	0	0	0	0	0	0	0	0	0	0
436	0.789297016	0	0	0	0	0	0	0	0	0	0	0	0
437	0.808623866	0	0	0	0	0	0	0	0	0	0	0	0
438	0.810893815	0	0	0	0	0	0	0	0	0	0	0	0
439	0.824198756	0	0	0	0	0	0	0	0	0	0	0	0
440	0.854158107	0	0	0	0	0	0	0	0	0	0	0	0
441	0.870790877	0	0	0	0	0	0	0	0	0	0	0	0
442	0.887310969	0	0	0	0	0	0	0	0	0	0	0	0
443	0.926199242	0	0	0	0	0	0	0	0	0	0	0	0
444	0.982281495	0	0	0	0	0	0	0	0	0	0	0	0
445	1.000000000	0	0	0	0	0	0	0	0	0	0	0	0
446	0.975238202	0	0	0	0	0	0	0	0	0	0	0	0
447	0.935963380	0	0	0	0	0	0	0	0	0	0	0	0
448	0.889971481	0	0	0	0	0	0	0	0	0	0	0	0
449	0.850210477	0	0	0	0	0	0	0	0	0	0	0	0
450	0.825694526	0	0	0	0	0	0	0	0	0	0	0	0
451	0.783902388	0	0	0	0	0	0	0	0	0	0	0	0
452	0.614174215	0	0	0	0	0	0	0	0	0	0	0	0
453	0.330071087	0	0	0	0	0	0	0	0	0	0	0	0
454	0.124108313	0	0	0	0	0	0	0	0	0	0	0	0
455	0.043656940	0	0	0	0	0	0	0	0	0	0	0	0
456	0.014749595	0.04255531	0	0	0	0	0	0	0	0	0	0	0
457	0	0.07229830	0	0	0	0	0	0	0	0	0	0	0
458	0	0.15374322	0	0	0	0	0	0	0	0	0	0	0
459	0	0.32799225	0	0	0	0	0	0	0	0	0	0	0
460	0	0.55336788	0	0	0	0	0	0	0	0	0	0	0
461	0	0.71011166	0	0	0	0	0	0	0	0	0	0	0
462	0	0.75285179	0	0	0	0	0	0	0	0	0	0	0
463	0	0.75232691	0	0	0	0	0	0	0	0	0	0	0
464	0	0.75668081	0	0	0	0	0	0	0	0	0	0	0
465	0	0.76326948	0	0	0	0	0	0	0	0	0	0	0
466	0	0.76239425	0	0	0	0	0	0	0	0	0	0	0
467	0	0.78525150	0	0	0	0	0	0	0	0	0	0	0
468	0	0.81546669	0	0	0	0	0	0	0	0	0	0	0
469	0	0.86179176	0	0	0	0	0	0	0	0	0	0	0
470	0	0.89282599	0	0	0	0	0	0	0	0	0	0	0
471	0	0.91952210	0	0	0	0	0	0	0	0	0	0	0
472	0	0.91900649	0	0	0	0	0	0	0	0	0	0	0
473	0	0.91315754	0	0	0	0	0	0	0	0	0	0	0
474	0	0.90035366	0	0	0	0	0	0	0	0	0	0	0
475	0	0.88989693	0	0	0	0	0	0	0	0	0	0	0
476	0	0.88232460	0	0	0	0	0	0	0	0	0	0	0
477	0	0.87606118	0	0	0	0	0	0	0	0	0	0	0
478	0	0.88429987	0	0	0	0	0	0	0	0	0	0	0
479	0	0.90695544	0	0	0	0	0	0	0	0	0	0	0
480	0	0.93232085	0	0	0	0	0	0	0	0	0	0	0
481	0	0.93947252	0	0	0	0	0	0	0	0	0	0	0
482	0	0.94383543	0	0	0	0	0	0	0	0	0	0	0
483	0	0.92204086	0	0	0	0	0	0	0	0	0	0	0
484	0	0.88602310	0	0	0	0	0	0	0	0	0	0	0
485	0	0.84743609	0	0	0	0	0	0	0	0	0	0	0
486	0	0.81251687	0	0	0	0	0	0	0	0	0	0	0
487	0	0.78239710	0	0	0	0	0	0	0	0	0	0	0
488	0	0.77310870	0	0	0	0	0	0	0	0	0	0	0
489	0	0.77209054	0	0	0	0	0	0	0	0	0	0	0
490	0	0.78742652	0	0	0	0	0	0	0	0	0	0	0
491	0	0.81217177	0	0	0	0	0	0	0	0	0	0	0
492	0	0.84605052	0	0	0	0	0	0	0	0	0	0	0
493	0	0.88767996	0	0	0	0	0	0	0	0	0	0	0
494	0	0.92793997	0	0	0	0	0	0	0	0	0	0	0
495	0	0.95069235	0	0	0	0	0	0	0	0	0	0	0
496	0	0.96573311	0	0	0	0	0	0	0	0	0	0	0
497	0	0.96938253	0	0	0	0	0	0	0	0	0	0	0
498	0	0.96570294	0	0	0	0	0	0	0	0	0	0	0
499	0	0.95832003	0	0	0	0	0	0	0	0	0	0	0
500	0	0.95405064	0	0	0	0	0	0	0	0	0	0	0
501	0	0.95178268	0	0	0	0	0	0	0	0	0	0	0
502	0	0.95699722	0	0	0	0	0	0	0	0	0	0	0
503	0	0.96556515	0	0	0	0	0	0	0	0	0	0	0
504	0	0.97705140	0	0	0	0	0	0	0	0	0	0	0
505	0	0.97709574	0	0	0	0	0	0	0	0	0	0	0
506	0	0.97436606	0	0	0	0	0	0	0	0	0	0	0
507	0	0.95903183	0	0	0	0	0	0	0	0	0	0	0
508	0	0.93506318	0	0	0	0	0	0	0	0	0	0	0
509	0	0.90190134	0	0	0	0	0	0	0	0	0	0	0
510	0	0.87165792	0	0	0	0	0	0	0	0	0	0	0
511	0	0.84402444	0	0	0	0	0	0	0	0	0	0	0
512	0	0.82280852	0	0	0	0	0	0	0	0	0	0	0
513	0	0.81536043	0	0	0	0	0	0	0	0	0	0	0
514	0	0.82057639	0	0	0	0	0	0	0	0	0	0	0
515	0	0.83951490	0	0	0	0	0	0	0	0	0	0	0
516	0	0.86992171	0	0	0	0	0	0	0	0	0	0	0
517	0	0.91526205	0	0	0	0	0	0	0	0	0	0	0
518	0	0.96067028	0	0	0	0	0	0	0	0	0	0	0
519	0	0.99163699	0	0	0	0	0	0	0	0	0	0	0
520	0	1.00000000	0	0	0	0	0	0	0	0	0	0	0
521	0	0.98356097	0	0	0	0	0	0	0	0	0	0	0
522	0	0.91130763	0	0	0	0	0	0	0	0	0	0	0
523	0	0.74018256	0	0	0	0	0	0	0	0	0	0	0
524	0	0.50395858	0	0	0	0	0	0	0	0	0	0	0
525	0	0.30501550	0	0	0	0	0	0	0	0	0	0	0
526	0	0.18004605	0	0	0	0	0	0	0	0	0	0	0
527	0	0.10738342	0	0	0	0	0	0	0	0	0	0	0
528	0	0.06593592	0	0	0	0	0	0	0	0	0	0	0
529	0	0.04207746	0	0	0	0	0	0	0	0	0	0	0
530	0	0.02662129	0	0	0	0	0	0	0	0	0	0	0
531	0	0.01433960	0	0	0	0	0	0	0	0	0	0	0
532	0	0.00265779	0	0	0	0	0	0	0	0	0	0	0
533	0	0.00081822	0	0	0	0	0	0	0	0	0	0	0
534	0	0	0	0	0	0	0	0	0	0	0	0	0
535	0	0	0	0	0	0	0	0	0	0	0	0	0
536	0	0	0	0	0	0	0	0	0	0	0	0	0
537	0	0	0	0	0	0	0	0	0	0	0	0	0
538	0	0	0.01448181	0	0	0	0	0	0	0	0	0	0
539	0	0	0.03422251	0	0	0	0	0	0	0	0	0	0
540	0	0	0.07346335	0	0	0	0	0	0	0	0	0	0
541	0	0	0.15444843	0	0	0	0	0	0	0	0	0	0
542	0	0	0.31661425	0	0	0	0	0	0	0	0	0	0
543	0	0	0.55322279	0	0	0	0	0	0	0	0	0	0
544	0	0	0.74859406	0	0	0	0	0	0	0	0	0	0
545	0	0	0.84890306	0	0	0	0	0	0	0	0	0	0
546	0	0	0.89772216	0	0	0	0	0	0	0	0	0	0
547	0	0	0.92153680	0	0	0	0	0	0	0	0	0	0
548	0	0	0.92572845	0	0	0	0	0	0	0	0	0	0
549	0	0	0.91122688	0	0	0	0	0	0	0	0	0	0
550	0	0	0.88818924	0	0	0	0	0	0	0	0	0	0
551	0	0	0.86523756	0	0	0	0	0	0	0	0	0	0
552	0	0	0.84718187	0	0	0	0	0	0	0	0	0	0
553	0	0	0.83875720	0	0	0	0	0	0	0	0	0	0
554	0	0	0.84459081	0	0	0	0	0	0	0	0	0	0
555	0	0	0.86219653	0	0	0	0	0	0	0	0	0	0
556	0	0	0.88838714	0	0	0	0	0	0	0	0	0	0
557	0	0	0.92443236	0	0	0	0	0	0	0	0	0	0
558	0	0	0.96017974	0	0	0	0	0	0	0	0	0	0
559	0	0	0.98685516	0	0	0	0	0	0	0	0	0	0
560	0	0	1.00000000	0	0	0	0	0	0	0	0	0	0
561	0	0	0.99860080	0	0	0	0	0	0	0	0	0	0
562	0	0	0.98076472	0	0	0	0	0	0	0	0	0	0
563	0	0	0.94522089	0	0	0	0	0	0	0	0	0	0
564	0	0	0.89817780	0	0	0	0	0	0	0	0	0	0
565	0	0	0.85580323	0	0	0	0	0	0	0	0	0	0
566	0	0	0.81841734	0	0	0	0	0	0	0	0	0	0
567	0	0	0.78862048	0	0	0	0	0	0	0	0	0	0
568	0	0	0.76460653	0	0	0	0	0	0	0	0	0	0
569	0	0	0.74963745	0	0	0	0	0	0	0	0	0	0
570	0	0	0.75055111	0	0	0	0	0	0	0	0	0	0
571	0	0	0.76137888	0	0	0	0	0	0	0	0	0	0
572	0	0	0.78244479	0	0	0	0	0	0	0	0	0	0
573	0	0	0.79890086	0	0	0	0	0	0	0	0	0	0
574	0	0	0.81016957	0	0	0	0	0	0	0	0	0	0
575	0	0	0.81408886	0	0	0	0	0	0	0	0	0	0
576	0	0	0.77358596	0	0	0	0	0	0	0	0	0	0
577	0	0	0.62881065	0	0	0	0	0	0	0	0	0	0
578	0	0	0.40397555	0	0	0	0	0	0	0	0	0	0
579	0	0	0.21542098	0	0	0	0	0	0	0	0	0	0
580	0	0	0.10715281	0	0	0	0	0	0	0	0	0	0
581	0	0	0.04792877	0	0	0	0	0	0	0	0	0	0
582	0	0	0.01848693	0	0	0	0	0	0	0	0	0	0
583	0	0	0.00108588	0	0	0	0	0	0	0	0	0	0
584	0	0	0	0	0	0	0	0	0	0	0	0	0
585	0	0	0	0	0	0	0	0	0	0	0	0	0
586	0	0	0	0	0	0	0	0	0	0	0	0	0
587	0	0	0	0	0	0	0	0	0	0	0	0	0
588	0	0	0	0	0	0	0	0	0	0	0	0	0
589	0	0	0	0	0	0	0	0	0	0	0	0	0
590	0	0	0	0	0	0	0	0	0	0	0	0	0
591	0	0	0	0	0	0	0	0	0	0	0	0	0
592	0	0	0	0	0	0	0	0	0	0	0	0	0
593	0	0	0	0	0	0	0	0	0	0	0	0	0
594	0	0	0	0	0	0	0	0	0	0	0	0	0
595	0	0	0	0	0	0	0	0	0	0	0	0	0
596	0	0	0	0	0	0	0	0	0	0	0	0	0
597	0	0	0	0	0	0	0	0	0	0	0	0	0
598	0	0	0	0	0	0	0	0	0	0	0	0	0
599	0	0	0	0	0	0	0	0	0	0	0	0	0
600	0	0	0	0	0	0	0	0	0	0	0	0	0
601	0	0	0	0	0	0	0	0	0	0	0	0	0
602	0	0	0	0	0	0	0	0	0	0	0	0	0
603	0	0	0	0	0	0	0	0	0	0	0	0	0
604	0	0	0	0	0	0	0	0	0	0	0	0	0
605	0	0	0	0	0	0	0	0	0	0	0	0	0
606	0	0	0	0	0	0	0	0	0	0	0	0	0
607	0	0	0	0	0	0	0	0	0	0	0	0	0
608	0	0	0	0	0	0	0	0	0	0	0	0	0
609	0	0	0	0	0	0	0	0	0	0	0	0	0
610	0	0	0	0	0	0	0	0	0	0	0	0	0
611	0	0	0	0	0	0	0	0	0	0	0	0	0
612	0	0	0	0	0	0	0	0	0	0	0	0	0
613	0	0	0	0	0	0	0	0	0	0	0	0	0
614	0	0	0	0	0	0	0	0	0	0	0	0	0
615	0	0	0	0	0	0	0	0	0	0	0	0	0
616	0	0	0	0	0	0	0	0	0	0	0	0	0
617	0	0	0	0	0	0	0	0	0	0	0	0	0
618	0	0	0	0	0	0	0	0	0	0	0	0	0
619	0	0	0	0	0	0	0	0	0	0	0	0	0
620	0	0	0	0	0	0	0	0	0	0	0	0	0
621	0	0	0	0	0	0	0	0	0	0	0	0	0
622	0	0	0	0	0	0	0	0	0	0	0	0	0
623	0	0	0	0	0	0	0	0	0	0	0	0	0
624	0	0	0	0	0	0	0	0	0	0	0	0	0
625	0	0	0	0	0	0	0	0	0	0	0	0	0
626	0	0	0	0	0	0	0	0	0	0	0	0	0
627	0	0	0	0	0	0	0	0	0	0	0	0	0
628	0	0	0	0	0	0	0	0	0	0	0	0	0
629	0	0	0	0	0	0	0	0	0	0	0	0	0
630	0	0	0	0	0	0	0	0	0	0	0	0	0
631	0	0	0	0	0	0	0	0	0	0	0	0	0
632	0	0	0	0	0	0	0	0	0	0	0	0	0
633	0	0	0	0	0	0	0	0	0	0	0	0	0
634	0	0	0	0	0	0	0	0	0	0	0	0	0
635	0	0	0	0	0	0	0	0	0	0	0	0	0
636	0	0	0	0	0	0	0	0	0	0	0	0	0
637	0	0	0	0	0	0	0	0	0	0	0	0	0
638	0	0	0	0	0	0	0	0	0	0	0	0	0
639	0	0	0	0	0	0	0	0	0	0	0	0	0
640	0	0	0	0	0	0	0	0	0	0	0	0	0
641	0	0	0	0	0	0	0	0	0	0	0	0	0
642	0	0	0	0	0	0	0	0	0	0	0	0	0
643	0	0	0	0	0	0	0	0	0	0	0	0	0
644	0	0	0	0	0	0	0	0	0	0	0	0	0
645	0	0	0	0	0	0	0	0	0	0	0	0	0
646	0	0	0	0.00141521	0	0	0	0	0	0	0	0	0
647	0	0	0	0.02590238	0	0	0	0	0	0	0	0	0
648	0	0	0	0.11651178	0	0	0	0	0	0	0	0	0
649	0	0	0	0.39088616	0	0	0	0	0	0	0	0	0
650	0	0	0	0.74959342	0	0	0	0	0	0	0	0	0
651	0	0	0	0.94485805	0	0	0	0	0	0	0	0	0
652	0	0	0	0.98011173	0	0	0	0	0	0	0	0	0
653	0	0	0	0.99406309	0	0	0	0	0	0	0	0	0
654	0	0	0	1.00000000	0	0	0	0	0	0	0	0	0
655	0	0	0	0.99545475	0	0	0	0	0	0	0	0	0
656	0	0	0	0.99052772	0	0	0	0	0	0	0	0	0
657	0	0	0	0.97733476	0	0	0	0	0	0	0	0	0
658	0	0	0	0.94055988	0	0	0	0	0	0	0	0	0
659	0	0	0	0.87894956	0	0	0	0	0	0	0	0	0
660	0	0	0	0.81629384	0	0	0	0	0	0	0	0	0
661	0	0	0	0.77345952	0	0	0	0	0	0	0	0	0
662	0	0	0	0.75448766	0	0	0	0	0	0	0	0	0
663	0	0	0	0.75991531	0	0	0	0	0	0	0	0	0
664	0	0	0	0.78263430	0	0	0	0	0	0	0	0	0
665	0	0	0	0.81016890	0	0	0	0	0	0	0	0	0
666	0	0	0	0.83612975	0	0	0	0	0	0	0	0	0
667	0	0	0	0.86125424	0	0	0	0	0	0	0	0	0
668	0	0	0	0.88609106	0	0	0	0	0	0	0	0	0
669	0	0	0	0.91138767	0	0	0	0	0	0	0	0	0
670	0	0	0	0.93405146	0	0	0	0	0	0	0	0	0
671	0	0	0	0.95042063	0	0	0	0	0	0	0	0	0
672	0	0	0	0.95925730	0	0	0	0	0	0	0	0	0
673	0	0	0	0.96039555	0	0	0	0	0	0	0	0	0
674	0	0	0	0.95913395	0	0	0	0	0	0	0	0	0
675	0	0	0	0.95809013	0	0	0	0	0	0	0	0	0
676	0	0	0	0.95527459	0	0	0	0	0	0	0	0	0
677	0	0	0	0.94376465	0	0	0	0	0	0	0	0	0
678	0	0	0	0.89490799	0	0	0	0	0	0	0	0	0
679	0	0	0	0.74426308	0	0	0	0	0	0	0	0	0
680	0	0	0	0.47677700	0	0	0	0	0	0	0	0	0
681	0	0	0	0.22960399	0	0	0	0	0	0	0	0	0
682	0	0	0	0.08009118	0	0	0	0	0	0	0	0	0
683	0	0	0	0.02617076	0	0	0	0	0	0	0	0	0
684	0	0	0	0.00415242	0	0	0	0	0	0	0	0	0
685	0	0	0	0	0	0	0	0	0	0	0	0	0
686	0	0	0	0	0	0	0	0	0	0	0	0	0
687	0	0	0	0	0	0	0	0	0	0	0	0	0
688	0	0	0	0	0	0	0	0	0	0	0	0	0
689	0	0	0	0	0	0	0	0	0	0	0	0	0
690	0	0	0	0	0	0	0	0	0	0	0	0	0
691	0	0	0	0	0	0	0	0	0	0	0	0	0
692	0	0	0	0	0	0	0	0	0	0	0	0	0
693	0	0	0	0	0	0	0	0	0	0	0	0	0
694	0	0	0	0	0	0	0	0	0	0	0	0	0
695	0	0	0	0	0.02835786	0	0	0	0	0	0	0	0
696	0	0	0	0	0.12369337	0	0	0	0	0	0	0	0
697	0	0	0	0	0.39378774	0	0	0	0	0	0	0	0
698	0	0	0	0	0.76113071	0	0	0	0	0	0	0	0
699	0	0	0	0	0.97108502	0	0	0	0	0	0	0	0
700	0	0	0	0	0.99889523	0	0	0	0	0	0	0	0
701	0	0	0	0	1.00000000	0	0	0	0	0	0	0	0
702	0	0	0	0	0.99412258	0	0	0	0	0	0	0	0
703	0	0	0	0	0.98321789	0	0	0	0	0	0	0	0
704	0	0	0	0	0.96704093	0	0	0	0	0	0	0	0
705	0	0	0	0	0.94847389	0	0	0	0	0	0	0	0
706	0	0	0	0	0.92714833	0	0	0	0	0	0	0	0
707	0	0	0	0	0.90372458	0	0	0	0	0	0	0	0
708	0	0	0	0	0.88614713	0	0	0	0	0	0	0	0
709	0	0	0	0	0.86723745	0	0	0	0	0	0	0	0
710	0	0	0	0	0.79075319	0	0	0	0	0	0	0	0
711	0	0	0	0	0.58840332	0	0	0	0	0	0	0	0
712	0	0	0	0	0.26334833	0	0	0	0	0	0	0	0
713	0	0	0	0	0.05675422	0	0	0	0	0	0	0	0
714	0	0	0	0	0.00618833	0	0	0	0	0	0	0	0
715	0	0	0	0	0	0	0	0	0	0	0	0	0
716	0	0	0	0	0	0	0	0	0	0	0	0	0
717	0	0	0	0	0	0	0	0	0	0	0	0	0
718	0	0	0	0	0	0	0	0	0	0	0	0	0
719	0	0	0	0	0	0	0	0	0	0	0	0	0
720	0	0	0	0	0	0	0	0	0	0	0	0	0
721	0	0	0	0	0	0	0	0	0	0	0	0	0
722	0	0	0	0	0	0	0	0	0	0	0	0	0
723	0	0	0	0	0	0	0	0	0	0	0	0	0
724	0	0	0	0	0	0	0	0	0	0	0	0	0
725	0	0	0	0	0	0	0	0	0	0	0	0	0
726	0	0	0	0	0	0	0	0	0	0	0	0	0
727	0	0	0	0	0	0	0	0	0	0	0	0	0
728	0	0	0	0	0	0	0	0	0	0	0	0	0
729	0	0	0	0	0	0	0	0	0	0	0	0	0
730	0	0	0	0	0	0	0	0	0	0	0	0	0
731	0	0	0	0	0	0.00171088	0	0	0	0	0	0	0
732	0	0	0	0	0	0.05467153	0	0	0	0	0	0	0
733	0	0	0	0	0	0.25806676	0	0	0	0	0	0	0
734	0	0	0	0	0	0.64722098	0	0	0	0	0	0	0
735	0	0	0	0	0	0.89218999	0	0	0	0	0	0	0
736	0	0	0	0	0	0.90232877	0	0	0	0	0	0	0
737	0	0	0	0	0	0.91508768	0	0	0	0	0	0	0
738	0	0	0	0	0	0.94115846	0	0	0	0	0	0	0
739	0	0	0	0	0	0.96299993	0	0	0	0	0	0	0
740	0	0	0	0	0	0.97510481	0	0	0	0	0	0	0
741	0	0	0	0	0	0.97702170	0	0	0	0	0	0	0
742	0	0	0	0	0	0.98736251	0	0	0	0	0	0	0
743	0	0	0	0	0	1.00000000	0	0	0	0	0	0	0
744	0	0	0	0	0	0.98880277	0	0	0	0	0	0	0
745	0	0	0	0	0	0.97179916	0	0	0	0	0	0	0
746	0	0	0	0	0	0.90126739	0	0	0	0	0	0	0
747	0	0	0	0	0	0.60672391	0	0	0	0	0	0	0
748	0	0	0	0	0	0.20520227	0	0	0	0	0	0	0
749	0	0	0	0	0	0.02675690	0	0	0	0	0	0	0
750	0	0	0	0	0	0	0	0	0	0	0	0	0
751	0	0	0	0	0	0	0	0	0	0	0	0	0
752	0	0	0	0	0	0	0	0	0	0	0	0	0
753	0	0	0	0	0	0	0	0	0	0	0	0	0
754	0	0	0	0	0	0	0	0	0	0	0	0	0
755	0	0	0	0	0	0	0	0	0	0	0	0	0
756	0	0	0	0	0	0	0	0	0	0	0	0	0
757	0	0	0	0	0	0	0	0	0	0	0	0	0
758	0	0	0	0	0	0	0	0	0	0	0	0	0
759	0	0	0	0	0	0	0	0	0	0	0	0	0
760	0	0	0	0	0	0	0	0.00067259	0	0	0	0	0
761	0	0	0	0	0	0	0	0.00388856	0	0	0	0	0
762	0	0	0	0	0	0	0	0.00000000	0	0	0	0	0
763	0	0	0	0	0	0	0	0.00000000	0	0	0	0	0
